source,target
VEGFA,HGF
VEGFA,ERBB2
VEGFA,AKT1
VEGFA,FLT1
VEGFA,MET
VEGFA,MTOR
VEGFA,QSOX1
GRB10,AKT1
STK11,SMAD4
MTOR,AKT1
MTOR,BECN1
SMAD3,MAPK1
SMAD3,SNAI1
SMAD3,CDK9
SMAD3,TGFBR1
SMAD3,TFDP2
SMAD3,SMAD4
SMAD3,CAV1
CDK7,CDK9
CDK7,IKBKB
CDK7,POLR2F
MAPK1,MAPK8
MAPK1,MET
MAPK1,HGF
MAPK1,CLTC
MAP3K11,MAPK8
PAK4,HGF
PAK4,MET
TGFBR1,CAV1
TGFBR1,SMAD4
MET,HGF
MET,CDH2
MET,MAPK8
FLT1,HGF
ERBB3,ERBB2
ERBB3,AKT1
ERBB3,MAPK8
CDH2,MAPK14
FZD6,FZD4
TFDP2,SIRT1
TFDP2,SMAD4
TFDP2,LIN54
SOD2,SIRT1
SOD2,AKT1
CAV1,CAV2
CAV1,AKT1
ERBB2,HGF
ERBB2,MAPK8
LDLR,CLTC
LDLR,FZD4
SMAD4,SNAI1
SMAD4,CDK9
PKM,POLA2
PKM,POLR2F
AKT1,MAPK14
AKT1,IKBKB
HGF,MAPK8
MAPK14,MAPK8
POLR2F,CDK9
CDK9,IKBKB
