source,target
PFN2,PFN1
PFN2,ACTB
MAP3K1,MAPK14
MAP3K1,TNFRSF10B
MAP3K1,MAP2K3
MAP3K1,MAVS
MAP3K1,CREB1
CHD9,PPARA
RASSF1,STK4
RNF41,KLHL20
RNF41,USP8
RNF41,KLHL11
RNF41,SOCS1
RNF41,PRKN
CCND2,ACVR1
CCND2,CCNT2
CCND2,STAT5B
CCND2,PRKACB
SRSF7,HNRNPU
SRSF7,SF3B3
SRSF7,CHERP
SRSF7,HNRNPA1
SRSF7,NCBP2
SRSF7,WBP4
SRSF7,HNRNPUL1
SF3B3,HNRNPU
SF3B3,CHERP
SF3B3,HNRNPA1
SF3B3,NCBP2
SF3B3,WBP4
SF3B3,HNRNPUL1
PFN1,ACTB
ATM,CCNT2
ATM,CCNA2
ATM,CHEK2
ATM,RPA2
ATM,ERCC4
ATM,CCAR2
PDE4D,PRKACB
MAPK1,CREB1
MAPK1,PRKACB
MAPK1,DUT
MAPK1,ATF2
MAPK1,PPARA
MAPK1,BCL2L11
MAPK1,STAT5B
MAPK1,RAF1
LIN9,MYBL2
NCOA3,MAPK14
NCOA3,NR3C1
NCOA3,YY1
NCOA3,KAT2B
CCNT2,ACVR1
CCNT2,SMAD4
CCNT2,PRKACB
CCNT2,NCBP2
KLHL21,RLIM
KLHL21,RNF111
KLHL21,KLHL11
KLHL21,CUL5
KLHL21,LONRF1
XIAP,TNFAIP3
XIAP,BMPR2
CNOT4,EIF4A2
POLI,RPA2
GAK,WASL
GAK,CPD
GAK,LDLR
GAK,RAB5B
GAK,TGOLN2
GAK,EPS15
GAK,OCRL
USP37,CCNA2
NAPB,STX16
NAPB,RAB1A
BAMBI,ACVR1
BAMBI,BMPR2
RPA2,ERCC4
TAF4,KAT2B
CCNA2,MYBL2
CCNA2,ATF2
CCNA2,PSMD9
SGK1,RAF1
ITPR1,PRKACB
TRIM33,SMAD4
TNIP1,TNFAIP3
RLIM,KLHL20
RLIM,PRKN
RLIM,LONRF1
RLIM,CUL5
RLIM,SOCS3
RLIM,KLHL11
RLIM,RNF111
RLIM,SOCS1
RLIM,KLHL3
RLIM,LTN1
NF1,NR3C1
NF1,ATF2
NF1,ACTB
STK4,MOB1B
NDEL1,CLIP1
NDEL1,PPP2R5E
OCRL,WASL
OCRL,RAB5B
OCRL,EPS15
OCRL,LDLR
OCRL,TGOLN2
ACVR1,BMPR2
ACVR1,PRKACB
MAP2K3,MAPK14
MEF2A,MAPK14
MEF2A,KAT2B
MEF2A,MEF2D
SMAD4,NR3C1
SMAD4,KAT2B
SMAD4,ATF2
SMAD4,RNF111
SMAD4,BMPR2
TNRC6A,MAPK14
TNRC6A,TNRC6B
RORA,CLOCK
RORA,PPARA
FZD6,USP8
CLOCK,PPARA
USP34,TNKS
PRKN,RNF111
PRKN,SOCS1
PRKN,CUL5
RPS4Y1,EIF4A2
RPS4Y1,NCBP2
RPS4Y1,SMG1
SMG1,NCBP2
TNKS,PSMD9
CPD,TGOLN2
SLC9A1,MAPK14
KLHL11,KLHL20
KLHL11,RNF111
KLHL11,KLHL3
KLHL11,SOCS1
KLHL11,LTN1
KLHL11,CUL5
KLHL11,LONRF1
KLHL11,SOCS3
KLHL3,KLHL20
KLHL3,RNF111
KLHL3,LTN1
KLHL3,CUL5
KLHL3,LONRF1
EPS15,WASL
EPS15,RAB5B
EPS15,LDLR
EPS15,TGOLN2
RAPGEF4,RAF1
RAPGEF4,PRKACB
LDLR,WASL
LDLR,TGOLN2
PPARA,DUT
CREB1,MAPK14
CREB1,ATF2
CREB1,PRKACB
MEF2D,MAPK14
MEF2D,KAT2B
MEF2D,HDAC4
ACTB,WASL
ACTB,STK38
ACTB,NR3C1
ACTB,YY1
ACTB,KAT2B
ACTB,ATF2
ACTB,CFL2
HNRNPA1,HNRNPU
HNRNPA1,NCBP2
HNRNPA1,WBP4
HNRNPA1,HNRNPUL1
HNRNPA1,CHERP
SNAPIN,TGOLN2
HDAC4,KAT2B
MAPK14,ATF2
MAPK14,TNRC6B
MAPK14,SOCS3
MAPK14,KAT2B
STX16,TGOLN2
RAF1,RRAS2
RAF1,PPP2R5E
NR3C1,PRKACB
NR3C1,ATF2
NR3C1,KAT2B
YY1,KAT2B
WBP4,HNRNPU
WBP4,NCBP2
WBP4,CHERP
LTN1,KLHL20
LTN1,RNF111
LTN1,CUL5
LTN1,LONRF1
TGOLN2,WASL
TGOLN2,RAB5B
STAT5B,BRWD1
STAT5B,SOCS3
STAT5B,SOCS1
WASL,RAB5B
CHERP,HNRNPUL1
KAT2B,ATF2
ATF2,SOCS3
NCBP2,HNRNPU
PPP2R5E,CLIP1
RNF111,KLHL20
RNF111,SOCS1
RNF111,CUL5
RNF111,LONRF1
RNF111,SOCS3
STK38,MOB1B
SOCS1,CUL5
SOCS1,SOCS3
HNRNPU,HNRNPUL1
KLHL20,LONRF1
KLHL20,CUL5
SOCS3,CUL5
CUL5,LONRF1
