source,target
RAD18,UBE2N
RAD18,UBC
LRP6,DVL2
LRP6,FZD2
LRP6,UBC
LRP6,CTNNB1
PAIP2,PABPC1
RNF20,UBE2N
MDFIC,CTNNB1
ZNF234,TRIM28
CCT3,MKKS
CCT3,ACTB
CCT3,TUBA1C
HIST2H2AC,SIRT1
HIST2H2AC,AGO2
HIST2H2AC,MBD2
HIST2H2AC,YY1
HIST2H2AC,CTCF
HIST2H2AC,RB1
HIST2H2AC,HIST1H2AC
HIST2H2AC,JARID2
HIST2H2AC,PHF21A
HIST2H2AC,BRMS1
HIST2H2AC,CTNNB1
HIST2H2AC,ACTB
HIST2H2AC,UBC
HIST2H2AC,GATAD2B
FZD2,DVL2
BRAP,UBC
TOMM20,TOMM40
NFYA,RB1
RPL27A,EIF2S3
RPL27A,SRP68
RPL27A,PABPC1
RPL27A,PPP2R2A
RPL27A,RPLP0
RPL27A,RPS7
RPL27A,RPL21
TIAM1,RHOA
JARID2,HIST1H2AC
FUS,HNRNPA1
FUS,HNRNPD
FUS,SRSF2
FUS,SF1
FUS,HNRNPA0
FUS,SF3B3
FOS,MMP2
FOS,CDKN1B
FOS,GJA1
FOS,RHOA
FOS,BCL2L11
FOS,CTNNB1
RNF4,HECTD2
RNF4,HECTD1
RNF4,UBE2N
RNF4,UBC
PALB2,SLX4
FMR1,AGO2
GJA1,CTNNB1
STAMBP,UBC
SRSF2,SF3B3
SRSF2,HNRNPD
SRSF2,HNRNPA0
SRSF2,HNRNPA1
SRSF2,NUP50
SRSF2,SF1
BAK1,TOMM40
BAK1,BCL2L11
PABPC1,EIF2S3
PABPC1,RPS7
PABPC1,RPLP0
PABPC1,UBC
PABPC1,RPL21
PABPC1,CNOT1
ACTG1,ACTB
ACTG1,RHOA
TOMM40,CHCHD2
ARID1A,ACTB
BBC3,BCL2L11
SF3B3,HNRNPA1
SF3B3,HNRNPD
SF3B3,SF1
SF3B3,HNRNPA0
BCL2L11,SIRT1
BCL2L11,BCL2L2
CDKN1B,SIRT1
CDKN1B,AKT3
CDKN1B,RB1
CDKN1B,RHOA
CDKN1B,CTNNB1
CDKN1B,CTCF
CDKN1B,TRIM28
CDKN1B,UBC
VANGL1,DVL2
CDC25C,RHOA
TBK1,TICAM1
TBK1,XRCC6
TBK1,UBC
RPL21,EIF2S3
RPL21,RPLP0
RPL21,RPS7
HIST1H2AC,SIRT1
HIST1H2AC,AGO2
HIST1H2AC,YY1
HIST1H2AC,CTCF
HIST1H2AC,RB1
HIST1H2AC,BRMS1
HIST1H2AC,ACTB
HIST1H2AC,PHF21A
HIST1H2AC,UBC
RPS7,EIF2S3
RPS7,NOP58
RPS7,RPLP0
RECK,MMP2
TRIM28,SIRT1
TRIM28,SKI
TRIM28,ZKSCAN8
ARHGEF18,RHOA
SF1,HNRNPD
SF1,HNRNPA0
SF1,HNRNPA1
CTNNB1,DVL2
CTNNB1,MMP2
CTNNB1,RHOA
CTNNB1,ABL1
PARP1,UBE2N
PARP1,UBC
HNRNPD,HNRNPA1
HNRNPD,HNRNPA0
UBE2N,TICAM1
UBE2N,HECTD2
UBE2N,UBC
UBE2N,HECTD1
UBE2N,SOCS1
UBE2N,XRCC6
LDHB,PKM
PKM,POLR3F
PKM,PRIM1
EVL,RHOA
MRPS16,RPLP0
EIF2S3,RPLP0
FBXO31,HECTD1
RB1,SIRT1
RB1,ABL1
RB1,PRIM1
SLX4,UBC
REPS1,UBC
SOCS1,HECTD2
SOCS1,SOCS3
SOCS1,UBC
TFAP2B,YY1
HECTD2,HECTD1
HECTD2,SOCS3
HECTD2,UBC
ACTB,YY1
ACTB,TUBA1C
ACTB,RHOA
UBC,DVL2
UBC,MFN2
UBC,SOCS3
UBC,SKI
UBC,RHOA
UBC,HECTD1
UBC,RAB5C
RHOA,DVL2
RHOA,ARHGDIA
AP3B1,RAB5C
HNRNPA1,HNRNPA0
DYNC1H1,TUBA1C
SIRT1,XRCC6
SRP68,RPLP0
AGO2,DICER1
AGO2,NUP50
RAB5C,DVL2
SOCS3,HECTD1
