source,target
ITGA6,MYC
ITGA6,LAMA2
CDK2,CDK4
CDK2,CCND2
CDK2,CCNT2
CDK2,MYC
CDK2,CCNA2
CDK2,ABL1
P3H1,COL1A2
P3H1,COL4A1
P3H1,COL4A2
ABL1,CDK4
ABL1,CCNA2
ABL1,CDC42
ABL1,ROBO1
KDM5B,MYC
CCNT2,CDK4
CCNT2,CCND2
ITGA11,COL1A2
DNMT3A,CDK4
DNMT3A,MYC
CDC42,MAPK6
CDC42,DAG1
CDC42,LAMA2
CDC42,ROBO1
VEGFA,MMP2
VEGFA,AKT3
FOS,MMP2
FOS,KDM6B
FOS,MYC
FOS,CYR61
CDK4,CCNA2
CDK4,MYC
CDK4,CCND2
CCND2,MYC
COL1A2,MYC
COL1A2,COL4A1
COL1A2,COL4A2
PMAIP1,MYC
PMAIP1,MCL1
PMAIP1,BBC3
COL4A1,COL4A2
UBE2Q1,KEAP1
UBE2Q1,HUWE1
KEAP1,HUWE1
HUWE1,MYC
DAG1,LAMA2
MCL1,BBC3
CBX6,KDM6B
