source,target
PRIM1,RB1
PRIM1,NME6
PRIM1,RFC3
PRIM1,RPA2
PRIM1,ITPA
CYCS,UQCRC1
CYCS,PPP3R1
CYCS,COX6B1
CYCS,YY1
CYCS,VDAC1
RNF19B,KLHL20
RNF19B,UBOX5
RNF19B,UBE2M
RNF19B,RLIM
RNF19B,ANAPC5
RNF19B,HUWE1
RNF19B,ASB1
RNF19B,RPS27A
RNF19B,UBR1
RNF19B,ASB16
RNF19B,UBE2O
RNF19B,UBE3B
RNF19B,UBE2L3
RNF19B,UBC
RNF19B,CDC16
RNF19B,TRIM32
RNF19B,ITCH
HECA,UNKL
CHD9,CPT1A
CHD9,NPAS2
CHD9,ABCA1
CHD9,TBL1XR1
SF3B3,PAPOLA
SF3B3,DDX5
SF3B3,HSPA8
SF3B3,SUGP1
SF3B3,HNRNPR
SF3B3,PCBP2
SF3B3,HNRNPM
SF3B3,SRSF2
SF3B3,ELAVL1
SF3B3,PLRG1
SF3B3,DDX46
SF3B3,PRPF4
MAPK1,RPS6KA4
MAPK1,CREB1
MAPK1,KLB
MAPK1,PRKACB
MAPK1,GNB4
MAPK1,JAK1
MAPK1,MKNK2
MAPK1,PRKAR1A
MAPK1,ELK4
MAPK1,AP2A2
MAPK1,NFKBIA
MAPK1,HMGB1
MAPK1,DUSP8
MAPK1,MYC
MAPK1,BCL2L11
MAPK1,RB1
MAPK1,YWHAZ
RPS27A,KLHL20
RPS27A,NFKBIA
RPS27A,UBOX5
RPS27A,HSPA8
RPS27A,SPCS1
RPS27A,MFN2
RPS27A,EPS15L1
RPS27A,TSG101
RPS27A,UBE2M
RPS27A,RLIM
RPS27A,RPL27
RPS27A,EIF2S1
RPS27A,KLB
RPS27A,REV1
RPS27A,PSMD11
RPS27A,ANAPC5
RPS27A,SMAD7
RPS27A,VAMP7
RPS27A,UPF1
RPS27A,HUWE1
RPS27A,KAT2B
RPS27A,ASB1
RPS27A,VDAC1
RPS27A,EIF4H
RPS27A,NOB1
RPS27A,EIF4A2
RPS27A,USP16
RPS27A,AP2A2
RPS27A,ASB16
RPS27A,RPL17
RPS27A,ITCH
RPS27A,GTF2H3
RPS27A,GAK
RPS27A,OCRL
RPS27A,HIST2H3A
RPS27A,CRY2
RPS27A,NSD2
RPS27A,FOXK1
RPS27A,CYLD
RPS27A,RPL9
RPS27A,RPA2
RPS27A,RPL30
RPS27A,HIST1H2BD
RPS27A,UBE3B
RPS27A,UBC
RPS27A,DYRK2
RPS27A,UNKL
RPS27A,DVL3
RPS27A,SPOPL
RPS27A,FAAP24
RPS27A,RFC3
RPS27A,SKI
RPS27A,UBE2L3
RPS27A,HIST3H2A
RPS27A,CSNK1A1
RPS27A,FCHO2
RPS27A,ARHGEF7
RPS27A,REV3L
RPS27A,RAB5B
RPS27A,UBR1
RPS27A,RPL14
RPS27A,ARPC2
RPS27A,CXCL8
RPS27A,FOXK2
RPS27A,HIP1
RPS27A,XIAP
RPS27A,TADA2B
RPS27A,USP21
RPS27A,UBE2O
RPS27A,SMAD4
RPS27A,HIST1H2BJ
RPS27A,ETF1
RPS27A,CDC16
ALDH9A1,MYC
EIF4H,RPL27
EIF4H,EIF2S1
EIF4H,PFAS
EIF4H,RPL14
EIF4H,EIF4A2
EIF4H,RPL17
EIF4H,RPL9
EIF4H,RPL30
HIST1H2BD,RIF1
HIST1H2BD,KDM6B
HIST1H2BD,YY1
HIST1H2BD,KAT2B
HIST1H2BD,ARID4B
HIST1H2BD,RB1
HIST1H2BD,REST
HIST1H2BD,HIST2H3A
HIST1H2BD,CENPQ
HIST1H2BD,NSD2
HIST1H2BD,TADA2B
HIST1H2BD,HIST3H2A
HIST1H2BD,TCF7L2
HIST1H2BD,UBC
HIST1H2BD,NPM1
HIST1H2BD,TBL1XR1
HIST1H2BD,HIST1H2BJ
HIST1H2BD,CDC16
HIST1H2BD,RPA2
HIST1H2BD,RBBP7
HIST1H2BD,CXCL8
MOB1A,SGMS1
H1F0,RB1
H1F0,HMGB2
H1F0,HMGB1
NCOA3,NR3C1
NCOA3,YY1
NCOA3,KAT2B
NCOA3,SLC2A4
NCOA3,MED16
NCOA3,MYC
NCOA3,RBBP7
GNB4,GABBR1
GNB4,LPAR2
GNB4,GNAS
GNB4,GNB5
GNB4,PRKACB
GNB4,PDPK1
GNB4,PTGER4
GOLGA1,STX16
GOLGA1,VPS53
GOLGA1,VTI1A
GOLGA1,TGOLN2
ADAR,IRF1
PGAM1,GAPDH
TRAPPC2,TRAPPC10
TRAPPC2,SEC23A
TRAPPC2,SEC16A
TRAPPC2,GOLGA2
QSOX1,VEGFA
ZNF217,RBBP7
ZNF217,MORF4L1
SMG6,UPF1
SMG6,ETF1
XIAP,SMAD7
XIAP,USP21
XIAP,CYLD
XIAP,UBC
XIAP,TAX1BP1
XIAP,BMPR2
CNOT4,EIF4A2
CNOT4,TNKS1BP1
SPOPL,UBC
GAK,M6PR
GAK,WASL
GAK,HSPA8
GAK,VAMP7
GAK,ARPC2
GAK,LDLR
GAK,SNX9
GAK,RAB5B
GAK,TGOLN2
GAK,HIP1
GAK,AP1G1
GAK,UBC
GAK,AP2A2
GAK,OCRL
KDM6B,TNRC6B
KDM6B,CBX8
KDM6B,PHC3
KDM6B,HIST2H3A
KDM6B,TNRC6A
KDM6B,HIST1H2BJ
F2RL1,LPAR2
ITGB8,ITGA2
TRAM1,SPCS1
TRAM1,RPL27
TRAM1,RPL30
SEPT2,CEP57
SEPT2,PAFAH1B1
CMPK1,NME6
CMPK1,ITPA
BCL2L11,BCL2L2
BCL2L11,PMAIP1
BCL2L11,MCL1
MYC,USP28
MYC,NFKBIA
MYC,GAPDH
MYC,EIF2S1
MYC,YY1
MYC,HUWE1
MYC,KAT2B
MYC,RB1
MYC,NPM1
MYC,DVL3
MYC,STK11
MYC,PMAIP1
MYC,SMAD4
MYC,JAK1
MYC,E2F1
MYC,SKI
MYC,CSDE1
MYC,TNRC6B
MYC,TCF7L2
MYC,TNRC6A
HUWE1,KLHL20
HUWE1,UBOX5
HUWE1,UBE2M
HUWE1,RLIM
HUWE1,ANAPC5
HUWE1,UBE2L3
HUWE1,UBR1
HUWE1,UNKL
HUWE1,ASB16
HUWE1,ITCH
HUWE1,UBE2O
HUWE1,ASB1
HUWE1,CDC16
HUWE1,UBE3B
HUWE1,UBC
MTMR3,PIP4K2C
MTMR3,PIP4K2A
FBXO31,FBXO21
FBXO21,KLHL20
FBXO21,UBOX5
FBXO21,UBE2L3
FBXO21,UBE3B
ZNF143,RPRD2
ZNF143,TAF8
ZNF143,POLR3F
ZNF143,CRCP
ZNF143,TAF6
GBP3,IRF1
GBP3,B2M
UBC,KLHL20
UBC,NFKBIA
UBC,UBOX5
UBC,WASL
UBC,HSPA8
UBC,MFN2
UBC,EPS15L1
UBC,TSG101
UBC,UBE2M
UBC,RLIM
UBC,KLB
UBC,REV1
UBC,PSMD11
UBC,ANAPC5
UBC,SMAD7
UBC,VAMP7
UBC,KAT2B
UBC,ASB1
UBC,VDAC1
UBC,USP21
UBC,UBR1
UBC,ASB16
UBC,ARPC2
UBC,CXCL8
UBC,TADA2B
UBC,CYLD
UBC,DVL3
UBC,UBE2O
UBC,FOXK1
UBC,USP16
UBC,FOXK2
UBC,HIP1
UBC,UBE3B
UBC,SMAD4
UBC,DYRK2
UBC,HIST1H2BJ
UBC,UBE2L3
UBC,TRIM32
UBC,FAAP24
UBC,RFC3
UBC,SKI
UBC,LDLR
UBC,SNX9
UBC,HIST3H2A
UBC,CSNK1A1
UBC,FCHO2
UBC,ARHGEF7
UBC,REV3L
UBC,RAB5B
UBC,AP2A2
UBC,ITCH
UBC,NSD2
UBC,CDC16
UBC,RPA2
UBC,GTF2H3
UBC,OCRL
UBC,HIST2H3A
UBC,CRY2
YWHAZ,PPP3R1
YWHAZ,RAB10
YWHAZ,SIK1
YWHAZ,RFC3
YWHAZ,CSNK1A1
YWHAZ,SLC2A4
YWHAZ,RAPGEF4
YWHAZ,RPA2
RPL27,SPCS1
RPL27,EIF2S1
RPL27,UPF1
RPL27,RPL14
RPL27,RPL9
RPL27,RPL30
RPL27,EIF4A2
RPL27,ETF1
