miR;path
miR-221-;R-HSA-9607240
miR-221-;R-HSA-8952158
miR-221-;R-HSA-5689901
miR-221-;R-HSA-2559586
miR-221-;R-HSA-9614085
miR-221-;R-HSA-427359
miR-221-;R-HSA-69231
miR-221-;R-HSA-69236
miR-221-;R-HSA-5689603
miR-221-;R-HSA-2559582
miR-221-;R-HSA-2299718
miR-221-;R-HSA-2173791
miR-221-;R-HSA-5250924
miR-221-;R-HSA-8878159
miR-221-;R-HSA-5625900
miR-221-;R-HSA-171306
miR-221-;R-HSA-5334118
miR-221-;R-HSA-212300
miR-221-;R-HSA-201722
miR-221-;R-HSA-5578749
miR-221-;R-HSA-3769402
miR-221-;R-HSA-5696394
miR-221-;R-HSA-9670095
miR-221-;R-HSA-5688426
miR-221-;R-HSA-5625886
miR-221-;R-HSA-212165
miR-221-;R-HSA-5250941
miR-221-;R-HSA-69656
miR-221-;R-HSA-5689896
miR-221-;R-HSA-5250913
miR-221-;R-HSA-1912408
miR-221-;R-HSA-201681
miR-221-;R-HSA-5625740
miR-221-;R-HSA-69202
miR-221-;R-HSA-73728
miR-221-;R-HSA-427389
miR-221-;R-HSA-774815
miR-221-;R-HSA-606279
miR-221-;R-HSA-450408
miR-221-;R-HSA-1912422
miR-221-;R-HSA-5626467
miR-221-;R-HSA-195258
miR-221-;R-HSA-211000
miR-221-;R-HSA-195721
miR-221-;R-HSA-8939236
miR-221-;R-HSA-68875
miR-221-;R-HSA-110331
miR-221-;R-HSA-193704
miR-221-;R-HSA-73927
miR-221-;R-HSA-9614657
miR-221-;R-HSA-110330
miR-221-;R-HSA-418990
miR-221-;R-HSA-3214858
miR-221-;R-HSA-977225
miR-221-;R-HSA-2559583
miR-221-;R-HSA-3928662
miR-221-;R-HSA-2559580
miR-221-;R-HSA-3858494
miR-221-;R-HSA-3214847
miR-221-;R-HSA-912446
miR-221-;R-HSA-2559585
miR-221-;R-HSA-8848021
miR-221-;R-HSA-9006927
miR-221-;R-HSA-4420097
miR-221-;R-HSA-194138
miR-221-;R-HSA-110329
miR-221-;R-HSA-73928
miR-221-;R-HSA-110328
miR-221-;R-HSA-9617828
miR-451a;R-HSA-4411364
miR-451a;R-HSA-8951430
miR-451a;R-HSA-4641265
miR-451a;R-HSA-9634638
miR-451a;R-HSA-450294
miR-451a;R-HSA-975138
miR-451a;R-HSA-448424
miR-451a;R-HSA-201722
miR-451a;R-HSA-975871
miR-451a;R-HSA-937061
miR-451a;R-HSA-168142
miR-451a;R-HSA-168176
miR-451a;R-HSA-166166
miR-451a;R-HSA-168164
miR-451a;R-HSA-975155
miR-451a;R-HSA-166058
miR-451a;R-HSA-168181
miR-451a;R-HSA-168188
miR-451a;R-HSA-168179
miR-451a;R-HSA-168138
miR-451a;R-HSA-181438
miR-451a;R-HSA-195253
miR-451a;R-HSA-9009391
miR-451a;R-HSA-69202
miR-451a;R-HSA-9616222
